,category,message
91,ham,ok. I am a gentleman and will treat you with dignity and respect.
92,ham,Going on nothing great.bye
93,ham,"Haha awesome, be there in a minute"
94,ham,Have you got Xmas radio times. If not i will get it now
95,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
96,ham,Hi :)finally i completed the course:)
97,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
98,ham,Did u got that persons story
99,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
100,ham,I sent you  &lt;#&gt;  bucks
101,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
102,ham,U call me alter at 11 ok.
103,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
104,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
105,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
106,ham,K:)k:)good:)study well.
107,ham,Sounds great! Are you home now?
108,ham,Tired. I haven't slept well the past few nights.
109,ham,I have to take exam with march 3
110,ham,Ok no prob. Take ur time.
111,ham,"Sorry, I'll call later"
112,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
113,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
114,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
115,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
116,ham,"Sorry battery died, yeah I'm here"
117,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
118,ham,Or ill be a little closer like at the bus stop on the same street
119,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
120,ham,Tomarrow final hearing on my laptop case so i cant.
121,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
122,ham,U don't remember that old commercial?
123,ham,I asked you to call him now ok
124,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
125,ham,Ranjith cal drpd Deeraj and deepak 5min hold
126,ham,What you doing?how are you?
127,ham,"I'm back, lemme know when you're ready"
128,ham,Mmm so yummy babe ... Nice jolt to the suzy
129,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
130,ham,Yup
131,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
132,ham,Why you Dint come with us.
133,ham,"Not sure yet, still trying to get a hold of him"
134,ham,The evo. I just had to download flash. Jealous?
135,ham,"Come to mu, we're sorting out our narcotics situation"
136,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
137,ham,No objection. My bf not coming.
138,ham,Tell rob to mack his gf in the theater
139,ham,Just sent it. So what type of food do you like?
140,ham,You got called a tool?
141,ham,Ok. I asked for money how far
142,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
143,ham,Ok..
144,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
145,ham,Hey you told your name to gautham ah?
146,ham,Oops. 4 got that bit.
147,ham,I accidentally deleted the message. Resend please.
148,ham,Unless it's a situation where YOU GO GURL would be more appropriate
149,ham,I cant pick the phone right now. Pls send a message
150,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
151,ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
152,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
153,ham,Jos ask if u wana meet up?
154,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
155,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
156,ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
157,ham,You made my day. Do have a great day too.
158,ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
159,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
160,ham,"Merry Christmas to you too babe, i love ya *kisses*"
161,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
162,ham,No problem. How are you doing?
163,ham,Hi da:)how is the todays class?
164,ham,"Cool, text me when you're parked"
165,ham,K.k:)apo k.good movie.
166,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
167,spam,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
168,ham,Cool. So how come you havent been wined and dined before?
169,ham,"Sorry, I'll call later"
170,ham,Ok that's great thanx a lot.
171,ham,Where u been hiding stranger?
172,ham,My sister cleared two round in birla soft yesterday.
173,ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
174,spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
175,ham,"Nah can't help you there, I've never had an iphone"
176,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
177,ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
178,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
179,ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
180,ham,Ha ha cool cool chikku chikku:-):-DB-)
181,ham,Check audrey's status right now
182,ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
183,spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
184,ham,Wat uniform? In where get?
185,ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
186,ham,I'm going for bath will msg you next  &lt;#&gt;  min..
187,spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
188,ham,You could have seen me..i did't recognise you Face.:)
189,ham,Keep my payasam there if rinu brings
190,ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
191,ham,Hey leave it. not a big deal:-) take care.
192,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
193,ham,Customer place i will call you.
194,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
195,ham,Huh so late... Fr dinner?
196,ham,Morning only i can ok.
197,ham,Pick you up bout 7.30ish? What time are  and that going?
198,ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
199,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
200,spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xÂ£150pw to eÂ£nd txt stop"
201,ham,The hair cream has not been shipped.
202,ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
203,ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
204,ham,Headin towards busetop
205,ham,Come by our room at some point so we can iron out the plan for this weekend
206,ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
207,spam,100 dating service cal;l 09064012103 box334sk38ch
208,ham,Alright i have a new goal now
209,ham,"Alright, I'll head out in a few minutes, text me where to meet you"
210,ham,Yes:)from last week itself i'm taking live call.
211,ham,Siva is in hostel aha:-.
212,ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
213,ham,aathi..where are you dear..
214,ham,7 at esplanade.. Do Ã¼ mind giving me a lift cos i got no car today..
215,ham,At home watching tv lor.
216,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
217,ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
218,ham,"Ask g or iouri, I've told the story like ten times already"
219,ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
220,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
221,ham,Oic... I saw him too but i tot he din c me... I found a group liao...
222,ham,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"""
223,ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. "
224,ham,LOL ... Have you made plans for new years?
225,ham,hanks lotsly!
226,ham,K:)k:)what are detail you want to transfer?acc no enough?
227,spam,"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
228,ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÂ’T LIKE ME LIKE THAT SO DONÂ’T WORRY."
229,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
230,ham,Where did u go? My phone is gonna die you have to stay in here
231,spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
232,ham,Ok i am on the way to railway
233,ham,They don't put that stuff on the roads to keep it from getting slippery over there?
234,ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
235,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
236,ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
237,ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
238,ham,Love you aathi..love u lot..
239,ham,"K, can I pick up another 8th when you're done?"
240,ham,"Almost there, see u in a sec"
241,ham,Watching tv lor...
242,ham,You should change your fb to jaykwon thuglyfe falconerf
243,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
244,ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
245,ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
246,ham,"Sorry,in meeting I'll call later"
247,ham,Are you free now?can i call now?
248,ham,Nope... Think i will go for it on monday... Sorry i replied so late
249,ham,"Kate jackson rec center before 7ish, right?"
250,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
251,ham,Check with nuerologist.
252,spam,+123 Congratulations - in this week's competition draw u have won the Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
253,ham,"Maybe westshore or hyde park village, the place near my house?"
254,ham,What's the significance?
255,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
256,ham,Lol ok your forgiven :)
257,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
258,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
259,ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
260,ham,But that's on ebay it might be less elsewhere.
261,ham,Were gonna go get some tacos
262,spam,"URGENT!: Your Mobile No. was awarded a Â£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
263,spam,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X"
264,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
265,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
266,ham,Gudnite....tc...practice going on
267,ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
268,ham,"Probably gonna be here for a while, see you later tonight &lt;)"
269,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
270,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
271,ham,But am going to college pa. What to do. are else ill come there it self. Pa.
272,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
273,ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
274,ham,Wait  &lt;#&gt;  min..
275,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
276,ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
277,ham,Iâ€˜ll have a look at the frying pan in case itâ€˜s cheap or a book perhaps. No thatâ€˜s silly a frying pan isnâ€˜t likely to be a book
278,ham,Having lunch:)you are not in online?why?
279,ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
280,ham,Hi msg me:)i'm in office..
281,ham,Geeeee ... I love you so much I can barely stand it
282,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
283,ham,Oooh bed ridden ey? What are YOU thinking of?
284,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
285,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
286,ham,Can you open the door?
287,ham,Nope i waiting in sch 4 daddy... 
288,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
289,spam,"our mobile number has won Â£5000, to claim calls us back or ring the claims hot line on 09050005321."
290,ham,Huh so early.. Then Ã¼ having dinner outside izzit?
291,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
292,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
293,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
294,ham,Ya srsly better than yi tho
295,spam,"For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
296,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
297,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
298,ham,Gud mrng dear have a nice day
299,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
300,ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
301,ham,Speaking of does he have any cash yet?
302,ham,Meet after lunch la...
303,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
304,ham,Neva mind it's ok..
305,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
306,ham,I have many dependents
307,ham,I called and said all to him:)then he have to choose this future.
308,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
309,ham,I come n pick Ã¼ up... Come out immediately aft ur lesson...
310,ham,Dear we got  &lt;#&gt;  dollars hi hi
311,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
312,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
313,ham,How many licks does it take to get to the center of a tootsie pop?
314,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
315,ham,Please dont say like that. Hi hi hi
316,ham,Oh that was a forwarded message. I thought you send that to me
317,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
318,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
319,ham,"What will we do in the shower, baby?"
320,ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
321,ham,Probably gonna swing by in a wee bit
322,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weâ€˜re in bâ€˜ham. Have a jolly good rest of week
323,ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
324,ham,No prob. I will send to your email.
325,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
326,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
327,ham,Did u got that persons story
328,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
329,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
